Molecule ChEMBL ID,Smiles,Standard Value,Standard Units
CHEMBL553025,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,,
CHEMBL475534,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,,
CHEMBL695,CN1C(=O)OC(C)(C)C1=O,,
CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,,
CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,,
CHEMBL1082607,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,,
CHEMBL1574,CC(C)(N)Cc1ccccc1,,
CHEMBL1542,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,,
CHEMBL370876,O=C(O)CC1SC(N/N=C/c2ccc([N+](=O)[O-])cc2)=NC1=O,500000.0,nM
CHEMBL1214188,NCC12CC1CN(c1nc3c(cc1F)c(=O)c(C(=O)O)cn3C1CC1)C2,12000.0,nM
CHEMBL55886,O=P(O)(O)C(O)(Cc1ccncc1)P(=O)(O)O,200000.0,nM
CHEMBL533017,CC1CN(C(=O)c2sc3ccccc3c2Cl)CC(C)O1,30000.0,nM
CHEMBL2028043,CCn1nc(-c2ccc(C(=O)OC)cc2)nc2c(=O)n(C)c(=O)nc1-2,30000.0,nM
CHEMBL1623897,CCOc1c(Cl)cc(CNCC(O)c2ccccc2)cc1OC,30000.0,nM
CHEMBL591395,O=C(O)C(=O)O.Oc1ccc(Br)cc1CN1CCN(Cc2cccc(F)c2)CC1,30000.0,nM
CHEMBL2028056,CN1CCN(c2ncnc3c2[nH]c2ccc(Cl)cc23)CC1,30000.0,nM
CHEMBL547266,Cc1ccnc(NC(c2cccc(OCc3ccccc3)c2)c2ccc3cccnc3c2O)c1,30000.0,nM
CHEMBL592123,CCCOCc1cc(CN2CCN(c3cccc(Cl)c3)CC2)c(O)c2ncccc12,30000.0,nM
CHEMBL2028046,Cc1sc(NC(=O)c2ccccc2)c(C(c2cccs2)N2CCN(c3ccccc3)CC2)c1C,30000.0,nM
CHEMBL586026,CN1C=C(c2ccc3ccccc3n2)C(c2c[nH]c3ccccc23)c2ccccc21,30000.0,nM
CHEMBL1223140,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],36.0,nM
CHEMBL428,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,3000.0,nM
CHEMBL1256668,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],3700.0,nM
CHEMBL1223065,CCCN(CCC)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(F)(F)F,7800.0,nM
CHEMBL1223141,CCCCN(CCCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],510.0,nM
CHEMBL529732,Cc1ccc(N2C(=O)C3C(C2=O)C2(c4ccccc4)C(=O)C3(c3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1,30000.0,nM
